id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28771582115245,-123.12110274713065,Entire home/apt,295,60,16,2017-02-26,0.19,28,365
11400,Central Lovely Rm in Victorian Home,42305,Jaynne,,Riley Park,49.25375606647688,-123.11265899043721,Private room,60,364,70,2016-06-14,0.67,1,365
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.245770071782864,-123.10515815885476,Entire home/apt,110,2,147,2018-09-04,1.41,1,269
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.2497391013039,-123.08107677972464,Entire home/apt,139,2,31,2018-07-08,0.32,1,0
14424,Stunning Heritage/Modern Studio,56709,Samantha Jo,,Downtown Eastside,49.27949235088337,-123.08874794074488,Entire home/apt,100,3,241,2018-08-24,2.31,3,247
14508, Yaletown - Sea Wall,57043,Linda,,Downtown,49.27419495647224,-123.12954681056692,Entire home/apt,139,90,31,2013-07-13,0.30,1,365
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.277336173502206,-123.04151829716706,Private room,220,3,3,2018-08-26,2.50,1,79
16611,Broadway skytrain station,58512,Que,,Grandview-Woodland,49.263822673743384,-123.07194089765328,Entire home/apt,1201,31,3,2018-02-16,0.35,8,212
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.2519542486706,-123.03550077208766,Entire home/apt,135,4,5,2018-03-31,0.06,1,0
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26180792471689,-123.10904901980626,Entire home/apt,99,1,158,2018-08-20,2.19,1,10
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.265640394902654,-123.09524010404785,Private room,55,30,116,2016-08-22,1.27,1,315
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.2742743008047,-123.07062799728378,Private room,82,1,295,2018-08-30,3.34,1,42
18795,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28251202016852,-123.12826925146516,Private room,95,3,91,2018-08-28,1.02,3,316
20566,Downtown Vancouver Perfect Suite,77672,Shona,,West End,49.282187919755785,-123.12502759366976,Entire home/apt,230,3,37,2018-08-17,0.36,1,245
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23427080138925,-123.05309220254188,Entire home/apt,64,30,187,2018-09-01,2.25,2,107
24273,Walker's paradise in Kitsilano,1267409,Julia,,Kitsilano,49.26259941698604,-123.17307840438093,Entire home/apt,300,2,3,2018-08-20,0.05,1,270
26047,COMFYSUITES Vancouver Accommodation,109845,Alicia,,Downtown,49.27933432869934,-123.12377354980471,Entire home/apt,159,30,26,2018-09-05,0.30,3,331
26234,Downtown Yaletown by COMFYSUITES,109845,Alicia,,Downtown,49.277551955659646,-123.12486648672139,Entire home/apt,170,30,5,2018-08-02,0.26,3,132
32746,Designer Urban Park View Townhouse,52118,Liliana,,Downtown Eastside,49.28033554054211,-123.10415158115033,Private room,107,31,80,2018-08-17,0.81,2,354
35304,"LOCATION, LOCATION, LOCATION- Cozy&Clean Lg. Space",151996,Howie And Lisa,,Grandview-Woodland,49.27351141899731,-123.06944590807215,Entire home/apt,99,2,333,2018-08-29,3.39,1,330
42645,The Charlie by COMFYSUITES,109845,Alicia,,Downtown,49.28000765460188,-123.12474526952083,Entire home/apt,159,30,28,2018-09-06,0.29,3,253
48146,Executive Furnished Apartment (6 months minimum),219431,Damien,,Renfrew-Collingwood,49.23457416192011,-123.02644067829515,Entire home/apt,99,30,0,,,1,365
49736,Boutique Studio Apartment in Kits!,227101,Sarah,,Kitsilano,49.267397982123086,-123.14633939585401,Entire home/apt,1950,31,9,2016-08-22,0.10,1,363
59166,Beautiful bedroom in  van 31days min,283600,Carolina,,Victoria-Fraserview,49.20708612057306,-123.06179925347972,Private room,55,31,9,2018-06-30,0.13,1,302
68894,Top-of-the-Line House: 5 min walk to Commerical Dr,343195,Trish,,Grandview-Woodland,49.26705026910854,-123.06081085375564,Entire home/apt,112,5,56,2017-04-02,0.64,2,321
70453,Beautiful Modern Heritage Home,56709,Samantha Jo,,Downtown Eastside,49.2794670362906,-123.08752091241263,Entire home/apt,300,5,9,2018-08-19,0.23,3,5
72659,Central Convenient Vibrant Neighbourhood!,375168,Donna,,Grandview-Woodland,49.273571565461516,-123.07023966920643,Entire home/apt,210,7,12,2018-05-23,0.17,1,245
77157,Room with a Garden View!,412802,Anne,,Arbutus Ridge,49.24674556099465,-123.16710930309753,Private room,99,1,502,2018-08-24,5.51,2,317
98242,"Studio, private patio, WIFI/Cbl, monthly stay!",31065,Mj,,Sunset,49.22293078954802,-123.07785164120769,Entire home/apt,57,31,455,2018-08-29,5.12,3,78
98830,Your Downtown Getaway !,520997,Cristina,,Downtown,49.279816618312935,-123.12509021176551,Entire home/apt,120,3,222,2018-08-18,2.49,1,60
102268,Cozy and large studio,514310,Bibi,,Riley Park,49.250420616124195,-123.10279137579718,Entire home/apt,85,31,91,2018-08-17,1.04,1,312
104346,"Vancouver BC Canada, Downtown,private entrance",543076,Marie-Line,,Downtown Eastside,49.27817604721686,-123.08912954379126,Private room,105,2,231,2018-09-05,3.66,1,297
108881,Olympic Village Suite,560892,Vancouver Furnished,,Mount Pleasant,49.271638798878364,-123.10714499487051,Entire home/apt,196,30,2,2018-07-10,0.54,7,365
111077,"Clean and Comfy, 2 Bd, Walk to the Drive",569682,Kristina,,Grandview-Woodland,49.267263036932704,-123.05968868880659,Entire home/apt,139,3,86,2018-08-13,0.97,1,343
118513,"White Orchid - Super comfy bed, Steps-2 Skytrain",597619,Rozsa,,Renfrew-Collingwood,49.24570719284808,-123.04787886668143,Private room,60,30,33,2018-03-15,0.38,2,67
125081,One step away from the Drive!,69746,Serge & Brigitte,,Grandview-Woodland,49.26772130176704,-123.0655079605205,Private room,85,5,156,2018-08-29,1.50,2,333
125176,Main Street Vineyard,622926,Mark,,Riley Park,49.24648209153021,-123.09241302891282,Entire home/apt,110,2,357,2018-09-06,4.13,1,161
129163,"Rock Rose - Clean, Cozy, Comfy, Steps2-Skytrain.",597619,Rozsa,,Renfrew-Collingwood,49.2450704190203,-123.0494075096657,Private room,43,30,47,2018-06-25,0.61,2,317
129756,cosy room near skytrain &The Drive,69746,Serge & Brigitte,,Grandview-Woodland,49.26785057457356,-123.06611701517983,Private room,80,5,167,2018-08-28,1.90,2,312
134688,"West view, Transit convenient, clean & comfortable",653436,Pirike,,Renfrew-Collingwood,49.244934540992354,-123.04915966745897,Private room,39,30,36,2017-09-23,0.42,5,172
140698,"1905 Neo-Edwardian Heritage Loft, Olympic Village",69640,Steve,,Mount Pleasant,49.26291607138427,-123.10580673230935,Entire home/apt,99,5,87,2018-08-27,0.99,1,324
160157,City Centre and Walk to Beach,767559,Valentina,,West End,49.28232092600178,-123.12954121973854,Entire home/apt,108,2,375,2018-08-27,4.30,1,170
